age,gender,city,income,spending_score,membership_years,recommend
56,Male,Bangalore,101326,53,4.7,Yes
46,Male,Hyderabad,32205,48,5.1,No
32,Male,Hyderabad,140243,7,7.9,Yes
60,Male,Delhi,109874,59,4.1,No
25,Female,Bangalore,32748,69,4.7,Yes
38,Female,Mumbai,41097,11,4.1,No
56,Male,Bangalore,23092,15,4.0,No
36,Male,Delhi,73311,64,5.5,Yes
40,Male,Hyderabad,42692,3,8.2,No
28,Male,Hyderabad,144954,69,3.9,Yes
28,Male,Delhi,43862,23,5.5,No
41,Female,Mumbai,110396,53,6.9,No
53,Female,Hyderabad,99507,37,3.1,Yes
57,Female,Chennai,100152,9,3.1,Yes
41,Female,Hyderabad,90469,15,9.4,Yes
20,Male,Chennai,24926,3,7.4,No
39,Male,Delhi,111299,93,6.0,Yes
19,Male,Delhi,23969,70,6.7,Yes
41,Male,Hyderabad,55733,17,0.8,No
61,Male,Bangalore,89855,26,6.4,Yes
47,Female,Chennai,61743,21,5.3,Yes
55,Male,Mumbai,59876,72,5.7,Yes
19,Female,Hyderabad,127445,21,3.9,Yes
38,Female,Mumbai,40323,11,1.3,No
50,Female,Hyderabad,36428,38,2.3,No
29,Female,Bangalore,54578,72,9.5,Yes
39,Male,Bangalore,106486,88,4.4,Yes
61,Female,Bangalore,128577,35,4.9,Yes
42,Female,Bangalore,84140,14,1.0,No
44,Female,Delhi,146378,14,0.9,No
59,Male,Delhi,127325,10,7.3,Yes
45,Male,Chennai,103829,12,5.6,Yes
33,Male,Mumbai,26364,38,5.3,No
32,Female,Hyderabad,148867,34,2.8,No
64,Female,Hyderabad,55349,41,7.6,No
61,Male,Delhi,20691,10,2.1,No
20,Female,Hyderabad,146899,17,2.3,No
54,Male,Delhi,115598,17,4.9,Yes
24,Male,Chennai,86467,67,3.2,Yes
38,Female,Mumbai,65896,62,2.9,Yes
26,Female,Chennai,77062,95,6.6,Yes
56,Female,Bangalore,117266,1,6.7,Yes
35,Female,Bangalore,99762,12,8.3,Yes
